district_code,district_name,sjsa_schemes_total_received_2020_21,sjsa_schemes_total_received_2021_22,sjsa_schemes_total_received_2022_23,sjsa_schemes_total_received_total,sjsa_schemes_total_distributed_2020_21,sjsa_schemes_total_distributed_2021_22,sjsa_schemes_total_distributed_2022_23,sjsa_schemes_total_distributed_total,sjsa_schemes_22250281_received_2020_21,sjsa_schemes_22250281_received_2021_22,sjsa_schemes_22250281_received_2022_23,sjsa_schemes_22250281_received_total,sjsa_schemes_22250281_distributed_2020_21,sjsa_schemes_22250281_distributed_2021_22,sjsa_schemes_22250281_distributed_2022_23,sjsa_schemes_22250281_distributed_total,sjsa_schemes_22250352_received_2020_21,sjsa_schemes_22250352_received_2021_22,sjsa_schemes_22250352_received_2022_23,sjsa_schemes_22250352_received_total,sjsa_schemes_22250352_distributed_2020_21,sjsa_schemes_22250352_distributed_2021_22,sjsa_schemes_22250352_distributed_2022_23,sjsa_schemes_22250352_distributed_total,sjsa_schemes_22253262_received_2020_21,sjsa_schemes_22253262_received_2021_22,sjsa_schemes_22253262_received_2022_23,sjsa_schemes_22253262_received_total,sjsa_schemes_22253262_distributed_2020_21,sjsa_schemes_22253262_distributed_2021_22,sjsa_schemes_22253262_distributed_2022_23,sjsa_schemes_22253262_distributed_total,sjsa_schemes_22253342_received_2020_21,sjsa_schemes_22253342_received_2021_22,sjsa_schemes_22253342_received_2022_23,sjsa_schemes_22253342_received_total,sjsa_schemes_22253342_distributed_2020_21,sjsa_schemes_22253342_distributed_2021_22,sjsa_schemes_22253342_distributed_2022_23,sjsa_schemes_22253342_distributed_total,sjsa_schemes_2225d117_received_2020_21,sjsa_schemes_2225d117_received_2021_22,sjsa_schemes_2225d117_received_2022_23,sjsa_schemes_2225d117_received_total,sjsa_schemes_2225d117_distributed_2020_21,sjsa_schemes_2225d117_distributed_2021_22,sjsa_schemes_2225d117_distributed_2022_23,sjsa_schemes_2225d117_distributed_total
23,Parbhani,1984994,2415440,2807494,7207928,29459.02,48395.57,58534,136388.6,11573.928,19004.992,29865.82,60444.74,5786.964,9502.496,14932.91,30222.37,3765.055,None,1369.55,5134.605,0,None,0,0,410,480,425,1315,0,0,0,0,6568.078,19062,19626.94,45257.018,6435.311,19062,19626.94,45124.251,23307.033,26780.36,43718.87,93806.263,0,0,0,0
24,Pune,13291721,30705390,27314136,71311247,1240267,2323132,2944584,6507983,121789.924,165593.897,284550,571933.821,101978.915,137685.79,235300.7,474965.405,3659186.332,6332425,6850486,16842097.33,2649.353,0,5460.242,8109.595,1710,2485,3130,7325,1425,2210,2845,6480,523270.931,122227.7,309772,955270.631,122080.376,114205.7,291770.1,528056.176,259606.767,93291.45,152249.3,505147.517,57336.755,64514.95,106530.4,228382.105
25,Raigad,900231.4,1054081,1024748,2979061,82513.43,73815.57,85437.23,241766.2,14175.18,45285.8,44822.52,104283.5,7087.59,21865.748,22411.26,51364.598,None,None,1714.5,1714.5,None,None,0,0,0,320,190,510,0,0,0,0,12660.062,2198.95,11644.48,26503.492,8012.335,1746.329,8991.793,18750.457,2727.409,2210.822,8756.352,13694.583,0,0,0,0
26,Ratnagiri,797455.3,899781.9,867635.7,2564873,36904.35,38623.88,55859.85,131388.1,26056.724,33358.398,37927.21,97342.332,13028.362,16679.199,18966.09,48673.651,None,None,309.9,309.9,None,None,0,0,110,160,160,430,0,0,0,0,5375.717,2992.267,15471.82,23839.804,4498.367,2992.267,15471.82,22962.454,None,48.808,48.808,97.616,None,0,0,0
27,Sangli,1796547,2119546,2224343,6140435,59107.56,60005.47,106871.8,225984.9,22084.026,29260.318,54426.74,105771.084,11042.013,14630.159,27213.37,52885.542,463.74,None,1333.2,1796.94,0,None,0,0,285,195,825,1305,0,0,0,0,14311.11,18859.65,44799.56,77970.32,12846.415,14216.06,39709.65,66772.125,16890.466,19376.79,29876.27,66143.526,0,0,0,0
28,Satara,1748057,1996986,2110592,5855635,66341.61,65302.55,94286.84,225931,37296.562,40784.632,60038.28,138119.474,18648.281,20392.316,30019.14,69059.737,None,None,739.78,739.78,None,None,0,0,285,300,500,1085,0,0,0,0,8887.658,9836.03,23365.78,42089.468,7031.909,4367.455,14777.3,26176.664,2357.897,2320.7,3116.802,7795.399,0,0,0,0
29,Sindhudurg,505500.8,535208.1,523853.1,1564562,30675.33,35737.26,44803.43,111216,14967.846,27205.75,31182.21,73355.806,7483.923,13602.875,15591.11,36677.908,None,None,None,0,None,None,None,0,145,180,235,560,0,0,0,0,7632.249,832.61,4433.937,12898.796,4512.287,809.83,3554.236,8876.353,18.184,18.184,None,36.368,0,0,None,0
30,Solapur,4100217,4315278,5195765,13611261,65380.85,71705.42,111335.6,248421.9,30337.112,39887.53,71391.92,141616.562,15168.556,19943.765,35695.96,70808.281,181.92,None,1104.95,1286.87,0,None,0,0,285,430,615,1330,0,0,0,0,22114.865,19225.11,42106.22,83446.195,13576.572,12425.09,25545.13,51546.792,5954.217,8779.104,12823.64,27556.961,0,0,0,0
31,Thane,20286307.9,11950212.9,24917872.7,57154395,905959.11,756800.63,1092198,2754958.23,13135.59,23525.543,40673.73,77334.863,6567.795,11712.244,20336.87,38616.909,219.25,None,1334.467,1553.717,0,None,0,0,100,1385,660,2145,0,0,0,0,13803.559,12793.81,24722.61,51319.979,9809.654,10259.68,16845.71,36915.044,815.804,,1002.855,1818.659,0,,0,0
32,Wardha,1805940,1949661,2051216,5806818,45808.21,60761.44,80535.82,187105.5,28474.668,45921.348,70207.16,144603.176,14237.334,22960.674,35103.58,72301.588,1943.29,3595.607,1319.06,6857.957,0,0,0,0,300,340,135,775,0,0,0,0,11319.09,13443.6,18406.01,43168.7,7578.974,12488.19,18406.01,38473.174,10399.332,16873.78,30178.4,57451.512,0,0,0,0
33,Washim,1934788,2186523,2128599,6249910,25601.89,28289.04,40544.21,94435.14,4805.25,6461.124,9340.876,20607.25,2402.625,3230.562,4670.438,10303.625,280.5,None,2527.05,2807.55,0,None,0,0,530,270,600,1400,0,0,0,0,8910.878,8973.089,18654.32,36538.287,5937.989,6459.469,12526.56,24924.018,19929.383,19606.96,32086.47,71622.813,0,0,0,0
34,Yavatmal,2978693,3244418,3355497,9578608,88845.93,110377.6,150887,350110.5,26690.574,41730.278,60261.77,128682.622,13345.287,20865.139,30130.89,64341.316,35.09,None,152.167,187.257,0,None,0,0,1095,650,640,2385,0,0,0,0,17573.574,23889.53,52213.24,93676.344,14341.128,23310.25,43622.38,81273.758,51406.257,55803.01,95926.91,203136.177,0,0,0,0
