district_code,district_name,population_all_persons_total,population_all_males_total,population_all_females_total,population_all_persons_rural,population_all_males_rural,population_all_females_rural,population_all_persons_urban,population_all_males_urban,population_all_females_urban,population_sc_persons_total,population_sc_males_total,population_sc_females_total,population_sc_persons_rural,population_sc_males_rural,population_sc_females_rural,population_sc_persons_urban,population_sc_males_urban,population_sc_females_urban,adr_persons_total,adr_males_total,adr_females_total,adr_persons_rural,adr_males_rural,adr_females_rural,adr_persons_urban,adr_males_urban,adr_females_urban
24,Nawada,2219146.00,1144668.00,1074478.00,2003567.00,1031656.00,971911.00,215579.00,113012.00,102567.00,317293.00,162796.00,154497.00,302997.00,155386.00,147611.00,14296.00,7410.00,6886.00,60.02,58.69,64.45,62.05,60.56,67.30,41.80,39.55,46.65
25,Pashchim Champaran,3935042.00,2061110.00,1873932.00,3541877.00,1853809.00,1688068.00,393165.00,207301.00,185864.00,308356.00,161911.00,146445.00,291042.00,152718.00,138324.00,17314.00,9193.00,8121.00,55.63,53.32,63.28,57.74,55.30,66.56,44.81,41.59,51.76
26,Patna,5838465.00,3078512.00,2759953.00,3323875.00,1746025.00,1577850.00,2514590.00,1332487.00,1182103.00,534203.00,281412.00,252791.00,372078.00,195104.00,176974.00,162125.00,86308.00,75817.00,49.90,48.07,54.54,58.36,56.46,64.90,41.96,38.87,48.05
27,Purba Champaran,5099371.00,2681209.00,2418162.00,4698028.00,2468181.00,2229847.00,401343.00,213028.00,188315.00,354728.00,186449.00,168279.00,334000.00,175271.00,158729.00,20728.00,11178.00,9550.00,54.46,52.40,61.08,55.65,53.73,62.07,46.00,41.96,55.59
28,Purnia,3264619.00,1699370.00,1565249.00,2921614.00,1519522.00,1402092.00,343005.00,179848.00,163157.00,213302.00,110839.00,102463.00,194028.00,100702.00,93326.00,19274.00,10137.00,9137.00,50.83,49.35,54.93,54.54,52.75,60.32,41.97,39.97,45.88
29,Rohtas,2959918.00,1543546.00,1416372.00,2532153.00,1318276.00,1213877.00,427765.00,225270.00,202495.00,314179.00,164586.00,149593.00,289790.00,151736.00,138054.00,24389.00,12850.00,11539.00,56.09,54.43,61.14,57.31,55.65,62.60,45.99,43.21,52.01
30,Saharsa,1900661.00,997174.00,903487.00,1744121.00,913883.00,830238.00,156540.00,83291.00,73249.00,164298.00,84501.00,79797.00,156998.00,80629.00,76369.00,7300.00,3872.00,3428.00,50.73,50.06,52.98,53.72,52.81,57.19,38.03,36.51,41.28
31,Samastipur,4261566.00,2230003.00,2031563.00,4113769.00,2152273.00,1961496.00,147797.00,77730.00,70067.00,446423.00,232856.00,213567.00,432019.00,225307.00,206712.00,14404.00,7549.00,6855.00,52.71,51.25,56.76,53.61,52.14,57.79,43.22,40.58,48.37
32,Saran,3951862.00,2022821.00,1929041.00,3598660.00,1838119.00,1760541.00,353202.00,184702.00,168500.00,270557.00,138430.00,132127.00,248622.00,126908.00,121714.00,21935.00,11522.00,10413.00,58.21,56.57,63.25,60.13,58.51,65.35,45.98,43.08,52.71
33,Sheikhpura,636342.00,329743.00,306599.00,527340.00,272360.00,254980.00,109002.00,57383.00,51619.00,71566.00,36961.00,34605.00,61741.00,31809.00,29932.00,9825.00,5152.00,4673.00,59.37,57.41,66.95,61.37,59.60,68.79,51.96,48.58,61.81
34,Sheohar,656246.00,346673.00,309573.00,628130.00,331792.00,296338.00,28116.00,14881.00,13235.00,52844.00,27953.00,24891.00,50789.00,26898.00,23891.00,2055.00,1055.00,1000.00,54.77,53.34,59.41,55.67,54.27,60.36,39.69,36.26,47.50
35,Sitamarhi,3423574.00,1803252.00,1620322.00,3233076.00,1701685.00,1531391.00,190498.00,101567.00,88931.00,223436.00,117637.00,105799.00,213236.00,112136.00,101100.00,10200.00,5501.00,4699.00,52.81,50.91,58.47,54.12,52.01,60.53,42.29,41.73,43.77
36,Siwan,3330464.00,1675090.00,1655374.00,3147551.00,1579685.00,1567866.00,182913.00,95405.00,87508.00,223411.00,112538.00,110873.00,216471.00,108874.00,107597.00,6940.00,3664.00,3276.00,62.38,60.75,66.71,63.29,61.65,67.71,45.08,42.48,50.60
37,Supaul,2229076.00,1155283.00,1073793.00,2123518.00,1099495.00,1024023.00,105558.00,55788.00,49770.00,191389.00,98168.00,93221.00,185216.00,94929.00,90287.00,6173.00,3239.00,2934.00,55.22,54.36,58.35,56.65,55.85,59.75,42.23,39.20,49.53
38,Vaishali,3495021.00,1844535.00,1650486.00,3261942.00,1721221.00,1540721.00,233079.00,123314.00,109765.00,430890.00,227843.00,203047.00,406525.00,214796.00,191729.00,24365.00,13047.00,11318.00,56.69,55.06,61.39,57.93,56.24,62.96,44.81,42.65,49.46
